Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Walloon Brabant,Apartment,ground-floor,365000.0,2.0,140,B,150.0,Just renovated,Apartments,35558,41007.54,117663,1680,True
Province of Namur,House,house,179000.0,4.0,146,D,271.0,Good,Houses,12716,32959.8,50453,0,True
Province of West Flanders,Apartment,apartment,365000.0,2.0,67,B,166.0,Good,Apartments,32514,49005.78,218080,23881,True
Brussels-Capital Region,Apartment,apartment,765000.0,3.0,254,C,141.0,Good,Apartments,49293,28468.3,88414,15806,True
Province of East Flanders,House,house,595000.0,3.0,249,C,209.0,As new,Houses,13311,44807.05,50053,19263,False
Brussels-Capital Region,Apartment,penthouse,1395000.0,4.0,287,D,192.0,To renovate,Apartments,86806,43621.92,224317,19952,True
Province of Walloon Brabant,House,apartment-block,449000.0,4.0,198,F,432.0,To be done up,Specialized Properties,11818,50802.91,44045,8103,True
Province of Flemish Brabant,House,house,369000.0,4.0,175,F,508.0,Good,Houses,17672,49195.92,64051,8324,True
Province of Liège,House,house,185000.0,4.0,129,C,236.0,Good,Houses,64266,28856.29,196623,18484,True
Brussels-Capital Region,House,house,790000.0,5.0,349,F,320.0,Good,Houses,60771,39197.85,137181,288528,True
Province of East Flanders,House,villa,598000.0,5.0,226,C,284.0,Just renovated,Luxury Properties,19402,42080.81,70655,60203,True
Brussels-Capital Region,Apartment,apartment,485000.0,2.0,109,D,177.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of Liège,House,house,369000.0,2.0,137,C,255.0,As new,Houses,5612,38896.68,19936,186842,True
Province of Luxembourg,House,house,185000.0,3.0,142,E,409.0,Good,Houses,17972,33662.13,63903,1857,True
Province of Flemish Brabant,House,house,549000.0,4.0,251,C,215.0,Not specified,Houses,13348,49150.46,47765,16607,True
Province of East Flanders,House,house,619000.0,5.0,311,B,124.0,Good,Houses,50838,42918.71,176284,59699,True
Province of East Flanders,House,exceptional-property,950000.0,4.0,250,Not specified,317.0,As new,Luxury Properties,90995,38691.96,291881,9696,True
Province of Antwerp,House,house,560000.0,3.0,324,E,498.0,Not specified,Houses,18914,42053.83,68060,14838,True
Province of East Flanders,House,house,750000.0,4.0,201,B,176.0,Not specified,Houses,269597,36726.16,810047,6028,True
Province of East Flanders,House,house,225000.0,4.0,134,D,395.0,Good,Houses,15073,39587.49,56919,9968,True
Province of Liège,House,house,188000.0,2.0,142,G,534.0,To be done up,Houses,40814,29901.9,123528,11066,True
Province of East Flanders,House,house,369000.0,4.0,195,F,1268.0,To renovate,Houses,8340,43002.14,32070,18627,False
Province of Flemish Brabant,House,mixed-use-building,690000.0,4.0,417,F,531.0,Good,Specialized Properties,104009,43011.99,344112,18038,True
Province of Luxembourg,House,house,199000.0,2.0,106,D,274.0,Just renovated,Houses,17972,33662.13,63903,1857,True
Province of East Flanders,House,house,374900.0,3.0,193,E,420.0,Good,Houses,21013,42477.48,76247,9586,False
Province of Flemish Brabant,House,apartment-block,690000.0,4.0,417,F,531.0,Good,Specialized Properties,104009,43011.99,344112,18038,True
Province of Antwerp,House,house,775000.0,3.0,408,D,317.0,To be done up,Houses,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,duplex,375000.0,3.0,114,F,319.0,To be done up,Apartments,60771,39197.85,137181,288528,True
Province of West Flanders,House,mixed-use-building,699000.0,3.0,225,F,746.0,Good,Specialized Properties,24275,42059.98,92090,20908,True
Province of Namur,House,house,289000.0,2.0,102,B,117.0,Just renovated,Houses,6099,36132.8,26188,0,True
Province of Antwerp,House,house,375000.0,4.0,197,C,278.0,Good,Houses,16753,39347.1,65952,17170,False
Province of Liège,House,house,240000.0,3.0,156,E,394.0,As new,Houses,27002,32475.49,90638,4402,True
Province of Antwerp,House,house,899000.0,7.0,494,A,89.0,Not specified,Houses,44505,39914.48,170277,3762,True
Brussels-Capital Region,House,exceptional-property,1695000.0,7.0,432,E,237.0,Good,Luxury Properties,26895,22954.31,36878,7264,False
Province of Antwerp,House,house,245000.0,3.0,132,F,642.0,To renovate,Houses,10966,38765.08,33356,10817,True
Province of Antwerp,Apartment,duplex,375000.0,2.0,135,B,165.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,657800.0,3.0,201,C,298.0,Good,Houses,20319,52053.15,77813,4594,True
Brussels-Capital Region,Apartment,ground-floor,825000.0,3.0,220,Not specified,317.0,Just renovated,Apartments,86806,43621.92,224317,19952,True
Province of Antwerp,House,house,695000.0,6.0,277,C,295.0,Good,Houses,8406,54650.36,28510,41627,True
Province of Liège,House,house,230000.0,5.0,161,D,327.0,To be done up,Houses,28989,32536.77,95135,5080,True
Province of East Flanders,House,house,699000.0,3.0,340,B,170.0,As new,Houses,21013,42477.48,76247,9586,True
Brussels-Capital Region,Apartment,ground-floor,349000.0,2.0,108,D,317.0,Good,Apartments,130405,29104.72,217421,12964,True
Province of Namur,House,villa,785000.0,8.0,492,A,68.0,Just renovated,Luxury Properties,9490,32244.81,39421,0,True
Province of Flemish Brabant,House,house,1095000.0,3.0,211,C,264.0,Just renovated,Houses,4674,46319.07,15839,455498,True
Province of Namur,House,villa,500000.0,4.0,200,D,318.0,Good,Luxury Properties,6148,28778.34,27689,0,True
Province of East Flanders,House,house,399000.0,3.0,124,B,124.0,Good,Houses,269597,36726.16,810047,6028,True
Province of Liège,House,town-house,245000.0,5.0,148,D,312.0,To renovate,Houses,195778,29723.4,553498,4139,True
Province of Antwerp,House,house,375000.0,3.0,130,F,1018.0,To renovate,Houses,28248,38599.87,86025,7933,True
Province of East Flanders,House,mansion,820000.0,6.0,382,F,614.0,To be done up,Luxury Properties,269597,36726.16,810047,6028,True
Brussels-Capital Region,House,house,815000.0,5.0,250,C,148.0,Not specified,Houses,25295,40886.53,68677,9462,True
Province of East Flanders,House,house,399000.0,3.0,124,B,124.0,Good,Houses,269597,36726.16,810047,6028,True
Province of East Flanders,House,house,375000.0,2.0,120,E,490.0,Good,Houses,12532,43767.71,48322,22524,False
Province of Antwerp,House,house,246000.0,3.0,159,F,690.0,To renovate,Houses,44505,39914.48,170277,3762,True
Brussels-Capital Region,House,house,875000.0,5.0,310,E,215.0,As new,Houses,42571,49629.39,117715,6157,True
Province of Walloon Brabant,House,villa,850000.0,5.0,240,D,336.0,As new,Luxury Properties,30596,49868.21,110845,5016,True
Province of Namur,House,villa,630000.0,4.0,250,E,371.0,To be done up,Luxury Properties,114142,35393.56,357401,0,True
Province of East Flanders,House,house,249000.0,4.0,183,F,1086.0,To renovate,Houses,10687,42704.05,40227,21094,True
Province of Antwerp,House,house,248000.0,3.0,148,F,1330.0,To renovate,Houses,18914,42053.83,68060,14838,False
Province of Namur,Apartment,apartment,378800.0,3.0,124,C,317.0,As new,Apartments,114142,35393.56,357401,0,True
Brussels-Capital Region,House,mixed-use-building,850000.0,2.0,330,G,385.0,To be done up,Specialized Properties,196828,29704.33,380145,17660,True
Province of Hainaut,House,house,569000.0,6.0,439,B,152.0,As new,Houses,4636,38286.0,17000,7429,True
Brussels-Capital Region,House,house,875000.0,5.0,310,E,215.0,As new,Houses,60771,39197.85,137181,288528,True
Province of Walloon Brabant,House,house,900000.0,4.0,296,D,317.0,Not specified,Houses,29070,39782.46,88101,4235,False
Province of Antwerp,House,house,275000.0,3.0,126,F,727.0,To renovate,Houses,19630,40248.78,66886,12621,True
Province of Liège,House,house,249000.0,4.0,174,E,353.0,To renovate,Houses,5745,46567.88,22848,6376,True
Province of Flemish Brabant,House,villa,985000.0,1.0,385,E,317.0,Good,Luxury Properties,36525,37715.53,106812,1948,True
Brussels-Capital Region,Apartment,apartment,385000.0,3.0,154,C,135.0,Good,Apartments,98365,25895.01,133439,16848,True
Province of Antwerp,House,villa,999000.0,3.0,427,Not specified,317.0,Good,Luxury Properties,11801,44100.5,41576,49807,False
Province of Liège,House,exceptional-property,910000.0,6.0,340,C,233.0,Good,Luxury Properties,20600,44376.09,78980,4763,True
Province of East Flanders,House,house,339000.0,3.0,90,B,144.0,Just renovated,Houses,269597,36726.16,810047,6028,True
Province of Flemish Brabant,House,house,385000.0,4.0,190,D,393.0,Good,Houses,47445,37233.84,123007,2844,True
Province of Walloon Brabant,House,bungalow,250000.0,2.0,80,G,689.0,Good,Houses,29070,39782.46,88101,4235,True
Province of Luxembourg,House,house,650000.0,3.0,230,C,211.0,Good,Houses,6024,45794.22,22396,0,True
Province of East Flanders,House,house,339000.0,3.0,104,B,155.0,As new,Houses,32702,39518.48,117883,21321,True
Province of Walloon Brabant,House,house,925000.0,4.0,315,Not specified,317.0,Not specified,Houses,14198,54821.33,57251,12078,False
Province of Liège,House,house,259000.0,2.0,161,C,216.0,Good,Houses,195778,29723.4,553498,4139,True
Province of East Flanders,House,house,1240000.0,4.0,280,A,48.0,As new,Houses,11091,54486.57,42945,10845,True
Province of Antwerp,House,mixed-use-building,1695000.0,4.0,559,A,23.0,Just renovated,Specialized Properties,544759,33144.07,1227104,4398,True
Brussels-Capital Region,House,mansion,1145000.0,5.0,375,D,200.0,As new,Luxury Properties,130405,29104.72,217421,12964,True
Province of West Flanders,House,villa,698000.0,4.0,224,B,199.0,Good,Luxury Properties,11207,40996.06,46066,26033,False
Province of Namur,House,exceptional-property,630000.0,7.0,420,D,283.0,As new,Luxury Properties,4681,32754.56,22813,0,True
Province of Antwerp,House,exceptional-property,1295000.0,4.0,250,A,91.0,Just renovated,Luxury Properties,23009,46533.35,69885,44616,False
Province of Antwerp,House,house,265000.0,2.0,145,E,475.0,To be done up,Houses,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,395000.0,2.0,95,B,67.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,House,house,880000.0,5.0,321,F,317.0,Not specified,Houses,11207,40996.06,46066,26033,False
Province of Flemish Brabant,House,house,1295000.0,3.0,215,Not specified,317.0,As new,Houses,6771,40962.53,24925,4046,True
Province of Walloon Brabant,House,villa,695000.0,5.0,250,B,127.0,As new,Luxury Properties,11818,50802.91,44045,8103,True
Province of West Flanders,House,house,1495000.0,4.0,280,C,249.0,As new,Houses,32514,49005.78,218080,23881,True
Province of Walloon Brabant,House,house,450000.0,4.0,143,C,238.0,As new,Houses,29070,39782.46,88101,4235,True
Province of Flemish Brabant,House,house,269000.0,3.0,143,F,674.0,To renovate,Houses,31138,40395.44,117155,11016,True
Province of Antwerp,House,house,395000.0,3.0,128,F,840.0,To renovate,Houses,89313,39500.05,263172,4655,True
Province of West Flanders,House,exceptional-property,1345000.0,4.0,300,D,320.0,Good,Luxury Properties,11207,40996.06,46066,26033,True
Province of East Flanders,House,house,389000.0,3.0,156,D,383.0,Good,Houses,32702,39518.48,117883,21321,False
Province of Liège,House,bungalow,270000.0,2.0,138,G,634.0,Good,Houses,27002,32475.49,90638,4402,True
Brussels-Capital Region,Apartment,apartment,399000.0,2.0,95,B,59.0,Good,Apartments,60771,39197.85,137181,288528,True
Province of Antwerp,Apartment,penthouse,865000.0,3.0,229,A,51.0,As new,Apartments,47305,34133.3,142045,8833,True
Brussels-Capital Region,House,house,398000.0,3.0,119,G,407.0,To renovate,Houses,42571,49629.39,117715,6157,False
Province of Flemish Brabant,House,house,399000.0,4.0,160,C,241.0,Good,Houses,47445,37233.84,123007,2844,True
Province of East Flanders,House,villa,1199000.0,5.0,425,A,31.0,As new,Luxury Properties,269597,36726.16,810047,6028,False
Brussels-Capital Region,House,mixed-use-building,525000.0,1.0,208,F,332.0,Not specified,Specialized Properties,86806,43621.92,224317,19952,False
Province of Antwerp,House,house,770000.0,5.0,254,Not specified,317.0,Good,Houses,38470,44845.46,131624,18190,True
Province of Antwerp,House,house,390000.0,3.0,118,B,188.0,Good,Houses,9892,37807.81,36719,5115,True
Province of Antwerp,House,villa,675000.0,5.0,303,B,158.0,Good,Luxury Properties,18062,41934.64,57951,8392,True
Province of Flemish Brabant,House,house,680000.0,6.0,270,C,287.0,To renovate,Houses,11474,58045.49,43091,7669,True
Province of Antwerp,House,house,279900.0,3.0,120,D,392.0,To be done up,Houses,544759,33144.07,1227104,4398,True
Province of Walloon Brabant,Apartment,apartment,995000.0,4.0,233,C,248.0,As new,Apartments,30596,49868.21,110845,5016,True
Province of East Flanders,House,house,399000.0,3.0,165,C,294.0,Good,Houses,34999,37743.97,124752,14340,True
Province of Walloon Brabant,House,house,650000.0,4.0,320,C,248.0,Good,Houses,6700,41827.82,22215,1814,True
Province of Liège,House,house,299000.0,4.0,189,D,263.0,Good,Houses,40814,29901.9,123528,11066,True
Province of Antwerp,House,house,399900.0,2.0,156,F,520.0,To renovate,Houses,38470,44845.46,131624,18190,True
Province of East Flanders,Apartment,apartment,230000.0,2.0,82,B,173.0,Good,Apartments,17072,41716.32,56434,26140,True
Brussels-Capital Region,Apartment,apartment,348000.0,3.0,110,D,189.0,Good,Apartments,45234,31133.23,80746,42542,True
Province of East Flanders,Apartment,apartment,387500.0,2.0,83,B,138.0,Good,Apartments,269597,36726.16,810047,6028,True
Province of Flemish Brabant,House,country-cottage,475000.0,3.0,155,F,922.0,To renovate,Houses,5425,44572.0,20917,20910,True
Province of Liège,House,house,289000.0,3.0,164,C,189.0,As new,Houses,64266,28856.29,196623,18484,True
Brussels-Capital Region,Apartment,apartment,1215000.0,3.0,205,D,317.0,Not specified,Apartments,42571,49629.39,117715,6157,True
Province of Flemish Brabant,House,house,399000.0,3.0,128,D,349.0,Good,Houses,26505,45534.17,87780,58076,True
Province of East Flanders,House,house,309000.0,4.0,160,D,359.0,To be done up,Houses,90995,38691.96,291881,9696,True
Brussels-Capital Region,Apartment,apartment,1390000.0,4.0,284,D,190.0,Good,Apartments,89278,36192.4,192538,3920,True
Province of Antwerp,House,house,310000.0,3.0,117,F,654.0,Good,Houses,21792,43829.5,76609,4251,False
Province of Walloon Brabant,Apartment,apartment,412000.0,2.0,90,Not specified,34.0,As new,Apartments,8407,43034.52,27845,15992,True
Brussels-Capital Region,Apartment,penthouse,1199000.0,3.0,200,B,317.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,Apartment,penthouse,1490000.0,3.0,234,B,111.0,As new,Apartments,72586,33257.05,244961,13344,True
Province of Walloon Brabant,Apartment,apartment,169000.0,1.0,63,C,242.0,Good,Apartments,35558,41007.54,117663,1680,True
Province of East Flanders,House,house,325000.0,3.0,146,A,50.0,Good,Houses,32702,39518.48,117883,21321,False
Province of West Flanders,House,villa,680000.0,5.0,445,B,114.0,As new,Luxury Properties,20627,37570.88,77565,2696,True
Province of East Flanders,House,villa,584000.0,4.0,200,B,167.0,As new,Luxury Properties,12305,44014.92,48387,7122,True
Brussels-Capital Region,Apartment,apartment,420000.0,2.0,105,D,170.0,Good,Apartments,89278,36192.4,192538,3920,True
Province of West Flanders,House,house,795000.0,3.0,324,B,149.0,As new,Houses,72586,33257.05,244961,13344,True
Province of Luxembourg,Apartment,apartment,160000.0,1.0,55,D,273.0,Good,Apartments,31310,46116.34,107219,9599,True
Brussels-Capital Region,House,house,785000.0,4.0,220,G,370.0,Not specified,Houses,25295,40886.53,68677,9462,True
Province of Walloon Brabant,House,house,350000.0,4.0,180,E,353.0,To be done up,Houses,29070,39782.46,88101,4235,True
Province of West Flanders,Apartment,apartment,420000.0,2.0,88,A,98.0,Good,Apartments,32514,49005.78,218080,23881,True
Province of East Flanders,House,house,545000.0,3.0,223,E,471.0,Not specified,Houses,269597,36726.16,810047,6028,True
Province of East Flanders,House,house,419000.0,6.0,160,F,939.0,To be done up,Houses,21501,37265.98,72757,11072,True
Brussels-Capital Region,Apartment,loft,192000.0,1.0,99,D,166.0,Good,Specialized Properties,98365,25895.01,133439,16848,True
Province of East Flanders,House,house,343000.0,3.0,165,C,234.0,Good,Houses,20144,42188.34,73055,22644,True
Province of East Flanders,House,house,509000.0,5.0,210,B,317.0,As new,Houses,21056,38576.63,67600,23721,True
Province of Antwerp,House,house,625000.0,4.0,303,D,384.0,Good,Houses,21792,43829.5,76609,4251,True
Brussels-Capital Region,Apartment,apartment,175000.0,1.0,71,E,218.0,Good,Apartments,98365,25895.01,133439,16848,True
Province of Luxembourg,House,house,350000.0,4.0,165,G,570.0,To renovate,Houses,11972,36446.9,44392,0,True
Province of West Flanders,House,house,649000.0,4.0,260,B,131.0,Good,Houses,10235,39050.54,39738,10754,True
Province of West Flanders,House,house,659000.0,3.0,208,B,143.0,Good,Houses,20965,37923.32,80727,20473,True
Brussels-Capital Region,Apartment,apartment,425000.0,2.0,100,C,104.0,As new,Apartments,60771,39197.85,137181,288528,True
Province of Walloon Brabant,Apartment,apartment,230000.0,3.0,150,B,110.0,To be done up,Apartments,29070,39782.46,88101,4235,True
Province of Antwerp,House,villa,658000.0,5.0,255,C,288.0,Not specified,Luxury Properties,30610,43103.88,106078,10507,False
Province of East Flanders,House,house,379000.0,5.0,180,C,222.0,Good,Houses,90995,38691.96,291881,9696,True
Province of East Flanders,House,house,435000.0,2.0,172,D,322.0,Good,Houses,269597,36726.16,810047,6028,True
Province of Antwerp,House,house,695000.0,3.0,205,B,192.0,Just renovated,Houses,11607,41814.03,43292,2260,True
Province of Walloon Brabant,Apartment,apartment,735000.0,5.0,260,Not specified,3.0,Good,Apartments,31648,39460.29,111133,5142,True
